Doc IDs,Twitter Handle,Cosine Similarities,Country,,Cosine Iraq,Twitter Handle Iraq,,Cosine Kuwait,Twitter Handle Kuwait,,Cosine Lebanon,Twitter Handle Lebanon,,Cosine Egypt,Twitter Handle Egypt,,Cosine Bahrain,Twitter Handle Bahrain,,
7490,Iraq_BarhamSalih,0.7390798,Iraq,,0.7390798,Iraq_BarhamSalih,,,,,,,,,,,,,,Iraq
7464,Iraq_BarhamSalih,0.66944826,Iraq,,0.66944826,Iraq_BarhamSalih,,,,,,,,,,,,,,Kuwait
9582,Kuwait_@Haya_abdulsalam,0.6650615,Kuwait,,,,,0.6650615,Kuwait_@Haya_abdulsalam,,,,,,,,,,,Egypt
7483,Iraq_BarhamSalih,0.66248107,Iraq,,0.66248107,Iraq_BarhamSalih,,,,,,,,,,,,,,Lebanon
7455,Iraq_BarhamSalih,0.6571604,Iraq,,0.6571604,Iraq_BarhamSalih,,,,,,,,,,,,,,Bahrain
8854,Kuwait_@altwaimi1976,0.654736,Kuwait,,,,,0.654736,Kuwait_@altwaimi1976,,,,,,,,,,,
7493,Iraq_BarhamSalih,0.6524063,Iraq,,0.6524063,Iraq_BarhamSalih,,,,,,,,,,,,,,
3488,Egypt_Elmo_27,0.63325346,Egypt,,,,,,,,,,,0.63325346,Egypt_Elmo_27,,,,,
7481,Iraq_BarhamSalih,0.6302161,Iraq,,0.6302161,Iraq_BarhamSalih,,,,,,,,,,,,,,
7465,Iraq_BarhamSalih,0.6290533,Iraq,,0.6290533,Iraq_BarhamSalih,,,,,,,,,,,,,,
8867,Kuwait_@altwaimi1976,0.62598866,Kuwait,,,,,0.62598866,Kuwait_@altwaimi1976,,,,,,,,,,,
7456,Iraq_BarhamSalih,0.62223405,Iraq,,0.62223405,Iraq_BarhamSalih,,,,,,,,,,,,,,
7484,Iraq_BarhamSalih,0.61096644,Iraq,,0.61096644,Iraq_BarhamSalih,,,,,,,,,,,,,,
7485,Iraq_BarhamSalih,0.6046304,Iraq,,0.6046304,Iraq_BarhamSalih,,,,,,,,,,,,,,
11285,Lebanon_HaririAMay,0.58979845,Lebanon,,,,,,,,0.58979845,Lebanon_HaririAMay,,,,,,,,
7488,Iraq_BarhamSalih,0.58783567,Iraq,,0.58783567,Iraq_BarhamSalih,,,,,,,,,,,,,,
7461,Iraq_BarhamSalih,0.5871736,Iraq,,0.5871736,Iraq_BarhamSalih,,,,,,,,,,,,,,
7478,Iraq_BarhamSalih,0.5800326,Iraq,,0.5800326,Iraq_BarhamSalih,,,,,,,,,,,,,,
7649,Iraq_Erbil_iq,0.5725646,Iraq,,0.5725646,Iraq_Erbil_iq,,,,,,,,,,,,,,
7487,Iraq_BarhamSalih,0.5703937,Iraq,,0.5703937,Iraq_BarhamSalih,,,,,,,,,,,,,,
7447,Iraq_BarhamSalih,0.5630083,Iraq,,0.5630083,Iraq_BarhamSalih,,,,,,,,,,,,,,
8864,Kuwait_@altwaimi1976,0.5629339,Kuwait,,,,,0.5629339,Kuwait_@altwaimi1976,,,,,,,,,,,
8859,Kuwait_@altwaimi1976,0.5628919,Kuwait,,,,,0.5628919,Kuwait_@altwaimi1976,,,,,,,,,,,
9915,Kuwait_@Kw__10,0.5606571,Kuwait,,,,,0.5606571,Kuwait_@Kw__10,,,,,,,,,,,
7450,Iraq_BarhamSalih,0.5493326,Iraq,,0.5493326,Iraq_BarhamSalih,,,,,,,,,,,,,,
7489,Iraq_BarhamSalih,0.5488441,Iraq,,0.5488441,Iraq_BarhamSalih,,,,,,,,,,,,,,
7457,Iraq_BarhamSalih,0.5480906,Iraq,,0.5480906,Iraq_BarhamSalih,,,,,,,,,,,,,,
11290,Lebanon_HaririAMay,0.54282945,Lebanon,,,,,,,,0.54282945,Lebanon_HaririAMay,,,,,,,,
7466,Iraq_BarhamSalih,0.5415835,Iraq,,0.5415835,Iraq_BarhamSalih,,,,,,,,,,,,,,
920,Almoslemani,0.53975344,Egypt,,,,,,,,,,,0.53975344,Almoslemani,,,,,
8914,Kuwait_@Alwashi7i,0.5265782,Kuwait,,,,,0.5265782,Kuwait_@Alwashi7i,,,,,,,,,,,
7444,Iraq_BarhamSalih,0.524025,Iraq,,0.524025,Iraq_BarhamSalih,,,,,,,,,,,,,,
7486,Iraq_BarhamSalih,0.5150676,Iraq,,0.5150676,Iraq_BarhamSalih,,,,,,,,,,,,,,
7452,Iraq_BarhamSalih,0.5145767,Iraq,,0.5145767,Iraq_BarhamSalih,,,,,,,,,,,,,,
9319,Kuwait_@drjasem,0.5105765,Kuwait,,,,,0.5105765,Kuwait_@drjasem,,,,,,,,,,,
7477,Iraq_BarhamSalih,0.50769717,Iraq,,0.50769717,Iraq_BarhamSalih,,,,,,,,,,,,,,
11288,Lebanon_HaririAMay,0.49353006,Lebanon,,,,,,,,0.49353006,Lebanon_HaririAMay,,,,,,,,
7471,Iraq_BarhamSalih,0.48824817,Iraq,,0.48824817,Iraq_BarhamSalih,,,,,,,,,,,,,,
7451,Iraq_BarhamSalih,0.4857695,Iraq,,0.4857695,Iraq_BarhamSalih,,,,,,,,,,,,,,
7476,Iraq_BarhamSalih,0.4849576,Iraq,,0.4849576,Iraq_BarhamSalih,,,,,,,,,,,,,,
11293,Lebanon_HaririAMay,0.48402277,Lebanon,,,,,,,,0.48402277,Lebanon_HaririAMay,,,,,,,,
11295,Lebanon_HaririAMay,0.47709203,Lebanon,,,,,,,,0.47709203,Lebanon_HaririAMay,,,,,,,,
7472,Iraq_BarhamSalih,0.47172624,Iraq,,0.47172624,Iraq_BarhamSalih,,,,,,,,,,,,,,
11287,Lebanon_HaririAMay,0.47137618,Lebanon,,,,,,,,0.47137618,Lebanon_HaririAMay,,,,,,,,
7445,Iraq_BarhamSalih,0.46099937,Iraq,,0.46099937,Iraq_BarhamSalih,,,,,,,,,,,,,,
7460,Iraq_BarhamSalih,0.4605,Iraq,,0.4605,Iraq_BarhamSalih,,,,,,,,,,,,,,
9527,Kuwait_@hamedzaidq8,0.45237643,Kuwait,,,,,0.45237643,Kuwait_@hamedzaidq8,,,,,,,,,,,
8374,Kuwait_@3bood_boushehri,0.45080927,Kuwait,,,,,0.45080927,Kuwait_@3bood_boushehri,,,,,,,,,,,
9535,Kuwait_@hamedzaidq8,0.44718736,Kuwait,,,,,0.44718736,Kuwait_@hamedzaidq8,,,,,,,,,,,
8878,Kuwait_@altwaimi1976,0.44577125,Kuwait,,,,,0.44577125,Kuwait_@altwaimi1976,,,,,,,,,,,
3492,Egypt_Elmo_27,0.44557384,Egypt,,,,,,,,,,,0.44557384,Egypt_Elmo_27,,,,,
8892,Kuwait_@altwaimi1976,0.44360322,Kuwait,,,,,0.44360322,Kuwait_@altwaimi1976,,,,,,,,,,,
7482,Iraq_BarhamSalih,0.4398894,Iraq,,0.4398894,Iraq_BarhamSalih,,,,,,,,,,,,,,
9524,Kuwait_@faisalalmuslem,0.43940148,Kuwait,,,,,0.43940148,Kuwait_@faisalalmuslem,,,,,,,,,,,
11286,Lebanon_HaririAMay,0.43925196,Lebanon,,,,,,,,0.43925196,Lebanon_HaririAMay,,,,,,,,
4581,Egypt_MoezMasoud,0.43638095,Egypt,,,,,,,,,,,0.43638095,Egypt_MoezMasoud,,,,,
8525,Kuwait_@7madms,0.43289384,Kuwait,,,,,0.43289384,Kuwait_@7madms,,,,,,,,,,,
8868,Kuwait_@altwaimi1976,0.43279296,Kuwait,,,,,0.43279296,Kuwait_@altwaimi1976,,,,,,,,,,,
10925,Lebanon_CAROLE_SAMAHA,0.42572495,Lebanon,,,,,,,,0.42572495,Lebanon_CAROLE_SAMAHA,,,,,,,,
7479,Iraq_BarhamSalih,0.42466113,Iraq,,0.42466113,Iraq_BarhamSalih,,,,,,,,,,,,,,
10932,Lebanon_CAROLE_SAMAHA,0.42287996,Lebanon,,,,,,,,0.42287996,Lebanon_CAROLE_SAMAHA,,,,,,,,
8860,Kuwait_@altwaimi1976,0.42078376,Kuwait,,,,,0.42078376,Kuwait_@altwaimi1976,,,,,,,,,,,
11289,Lebanon_HaririAMay,0.41951254,Lebanon,,,,,,,,0.41951254,Lebanon_HaririAMay,,,,,,,,
7462,Iraq_BarhamSalih,0.41929007,Iraq,,0.41929007,Iraq_BarhamSalih,,,,,,,,,,,,,,
7491,Iraq_BarhamSalih,0.41633272,Iraq,,0.41633272,Iraq_BarhamSalih,,,,,,,,,,,,,,
8863,Kuwait_@altwaimi1976,0.41357824,Kuwait,,,,,0.41357824,Kuwait_@altwaimi1976,,,,,,,,,,,
7446,Iraq_BarhamSalih,0.4120822,Iraq,,0.4120822,Iraq_BarhamSalih,,,,,,,,,,,,,,
3481,Egypt_Elmo_27,0.41129822,Egypt,,,,,,,,,,,0.41129822,Egypt_Elmo_27,,,,,
8397,Kuwait_@3bood_boushehri,0.40633017,Kuwait,,,,,0.40633017,Kuwait_@3bood_boushehri,,,,,,,,,,,
7449,Iraq_BarhamSalih,0.4027139,Iraq,,0.4027139,Iraq_BarhamSalih,,,,,,,,,,,,,,
8845,Kuwait_@altwaimi1976,0.40219945,Kuwait,,,,,0.40219945,Kuwait_@altwaimi1976,,,,,,,,,,,
9440,Kuwait_@Essa_Ramadhan,0.39937478,Kuwait,,,,,0.39937478,Kuwait_@Essa_Ramadhan,,,,,,,,,,,
7651,Iraq_Erbil_iq,0.3970116,Iraq,,0.3970116,Iraq_Erbil_iq,,,,,,,,,,,,,,
7653,Iraq_Erbil_iq,0.39505458,Iraq,,0.39505458,Iraq_Erbil_iq,,,,,,,,,,,,,,
9918,Kuwait_@Kw__10,0.39296502,Kuwait,,,,,0.39296502,Kuwait_@Kw__10,,,,,,,,,,,
8913,Kuwait_@Alwashi7i,0.3921228,Kuwait,,,,,0.3921228,Kuwait_@Alwashi7i,,,,,,,,,,,
7473,Iraq_BarhamSalih,0.39205697,Iraq,,0.39205697,Iraq_BarhamSalih,,,,,,,,,,,,,,
8526,Kuwait_@7madms,0.3914285,Kuwait,,,,,0.3914285,Kuwait_@7madms,,,,,,,,,,,
11294,Lebanon_HaririAMay,0.38826016,Lebanon,,,,,,,,0.38826016,Lebanon_HaririAMay,,,,,,,,
9443,Kuwait_@Essa_Ramadhan,0.38742173,Kuwait,,,,,0.38742173,Kuwait_@Essa_Ramadhan,,,,,,,,,,,
9526,Kuwait_@hamedzaidq8,0.38667753,Kuwait,,,,,0.38667753,Kuwait_@hamedzaidq8,,,,,,,,,,,
7448,Iraq_BarhamSalih,0.38156456,Iraq,,0.38156456,Iraq_BarhamSalih,,,,,,,,,,,,,,
9912,Kuwait_@Kw__10,0.3815395,Kuwait,,,,,0.3815395,Kuwait_@Kw__10,,,,,,,,,,,
8856,Kuwait_@altwaimi1976,0.3811733,Kuwait,,,,,0.3811733,Kuwait_@altwaimi1976,,,,,,,,,,,
9927,Kuwait_@Kw__10,0.3800189,Kuwait,,,,,0.3800189,Kuwait_@Kw__10,,,,,,,,,,,
3494,Egypt_Elmo_27,0.37991512,Egypt,,,,,,,,,,,0.37991512,Egypt_Elmo_27,,,,,
2232,Egypt_alnagar80,0.3794793,Egypt,,,,,,,,,,,0.3794793,Egypt_alnagar80,,,,,
7654,Iraq_Erbil_iq,0.37677333,Iraq,,0.37677333,Iraq_Erbil_iq,,,,,,,,,,,,,,
9574,Kuwait_@Haya_abdulsalam,0.37372085,Kuwait,,,,,0.37372085,Kuwait_@Haya_abdulsalam,,,,,,,,,,,
9559,Kuwait_@hamedzaidq8,0.37064487,Kuwait,,,,,0.37064487,Kuwait_@hamedzaidq8,,,,,,,,,,,
8869,Kuwait_@altwaimi1976,0.3699478,Kuwait,,,,,0.3699478,Kuwait_@altwaimi1976,,,,,,,,,,,
9525,Kuwait_@hamedzaidq8,0.36988834,Kuwait,,,,,0.36988834,Kuwait_@hamedzaidq8,,,,,,,,,,,
4834,Egypt_naderbakkar,0.3698646,Egypt,,,,,,,,,,,0.3698646,Egypt_naderbakkar,,,,,
7470,Iraq_BarhamSalih,0.36723468,Iraq,,0.36723468,Iraq_BarhamSalih,,,,,,,,,,,,,,
10926,Lebanon_CAROLE_SAMAHA,0.36456752,Lebanon,,,,,,,,0.36456752,Lebanon_CAROLE_SAMAHA,,,,,,,,
7492,Iraq_BarhamSalih,0.36432672,Iraq,,0.36432672,Iraq_BarhamSalih,,,,,,,,,,,,,,
11193,Lebanon_Gebran_Bassil,0.36363176,Lebanon,,,,,,,,0.36363176,Lebanon_Gebran_Bassil,,,,,,,,
9528,Kuwait_@hamedzaidq8,0.36339325,Kuwait,,,,,0.36339325,Kuwait_@hamedzaidq8,,,,,,,,,,,
7650,Iraq_Erbil_iq,0.36052012,Iraq,,0.36052012,Iraq_Erbil_iq,,,,,,,,,,,,,,
9923,Kuwait_@Kw__10,0.35851052,Kuwait,,,,,0.35851052,Kuwait_@Kw__10,,,,,,,,,,,
7652,Iraq_Erbil_iq,0.35765046,Iraq,,0.35765046,Iraq_Erbil_iq,,,,,,,,,,,,,,
7233,Yosraellozy,0.3556783,Egypt,,,,,,,,,,,0.3556783,Yosraellozy,,,,,
9917,Kuwait_@Kw__10,0.35412472,Kuwait,,,,,0.35412472,Kuwait_@Kw__10,,,,,,,,,,,
10931,Lebanon_CAROLE_SAMAHA,0.35387573,Lebanon,,,,,,,,0.35387573,Lebanon_CAROLE_SAMAHA,,,,,,,,
8380,Kuwait_@3bood_boushehri,0.3512566,Kuwait,,,,,0.3512566,Kuwait_@3bood_boushehri,,,,,,,,,,,
8861,Kuwait_@altwaimi1976,0.3505696,Kuwait,,,,,0.3505696,Kuwait_@altwaimi1976,,,,,,,,,,,
9137,Kuwait_@DrAlmutawa,0.35045135,Kuwait,,,,,0.35045135,Kuwait_@DrAlmutawa,,,,,,,,,,,
7469,Iraq_BarhamSalih,0.34998244,Iraq,,0.34998244,Iraq_BarhamSalih,,,,,,,,,,,,,,
9919,Kuwait_@Kw__10,0.34963876,Kuwait,,,,,0.34963876,Kuwait_@Kw__10,,,,,,,,,,,
8529,Kuwait_@7madms,0.34853444,Kuwait,,,,,0.34853444,Kuwait_@7madms,,,,,,,,,,,
3896,Egypt_Hamaki,0.34707814,Egypt,,,,,,,,,,,0.34707814,Egypt_Hamaki,,,,,
3069,Egypt_Donia,0.34096667,Egypt,,,,,,,,,,,0.34096667,Egypt_Donia,,,,,
9138,Kuwait_@DrAlmutawa,0.34053904,Kuwait,,,,,0.34053904,Kuwait_@DrAlmutawa,,,,,,,,,,,
7454,Iraq_BarhamSalih,0.33998567,Iraq,,0.33998567,Iraq_BarhamSalih,,,,,,,,,,,,,,
9914,Kuwait_@Kw__10,0.3387401,Kuwait,,,,,0.3387401,Kuwait_@Kw__10,,,,,,,,,,,
9928,Kuwait_@Kw__10,0.33635473,Kuwait,,,,,0.33635473,Kuwait_@Kw__10,,,,,,,,,,,
9537,Kuwait_@hamedzaidq8,0.33536783,Kuwait,,,,,0.33536783,Kuwait_@hamedzaidq8,,,,,,,,,,,
11297,Lebanon_HaririAMay,0.33496258,Lebanon,,,,,,,,0.33496258,Lebanon_HaririAMay,,,,,,,,
9155,Kuwait_@DrAlmutawa,0.334539,Kuwait,,,,,0.334539,Kuwait_@DrAlmutawa,,,,,,,,,,,
9916,Kuwait_@Kw__10,0.33414626,Kuwait,,,,,0.33414626,Kuwait_@Kw__10,,,,,,,,,,,
8897,Kuwait_@Alwashi7i,0.33330843,Kuwait,,,,,0.33330843,Kuwait_@Alwashi7i,,,,,,,,,,,
8875,Kuwait_@altwaimi1976,0.33215204,Kuwait,,,,,0.33215204,Kuwait_@altwaimi1976,,,,,,,,,,,
8375,Kuwait_@3bood_boushehri,0.32740292,Kuwait,,,,,0.32740292,Kuwait_@3bood_boushehri,,,,,,,,,,,
8881,Kuwait_@altwaimi1976,0.3273149,Kuwait,,,,,0.3273149,Kuwait_@altwaimi1976,,,,,,,,,,,
1669,CarmenSoliman,0.32528526,Egypt,,,,,,,,,,,0.32528526,CarmenSoliman,,,,,
7459,Iraq_BarhamSalih,0.32407653,Iraq,,0.32407653,Iraq_BarhamSalih,,,,,,,,,,,,,,
8870,Kuwait_@altwaimi1976,0.32386214,Kuwait,,,,,0.32386214,Kuwait_@altwaimi1976,,,,,,,,,,,
3499,Egypt_Elmo_27,0.32310176,Egypt,,,,,,,,,,,0.32310176,Egypt_Elmo_27,,,,,
771,abdrhmanabnody,0.3219316,Egypt,,,,,,,,,,,0.3219316,abdrhmanabnody,,,,,
10921,Lebanon_blackhawkinc,0.31885535,Lebanon,,,,,,,,0.31885535,Lebanon_blackhawkinc,,,,,,,,
9147,Kuwait_@DrAlmutawa,0.31808537,Kuwait,,,,,0.31808537,Kuwait_@DrAlmutawa,,,,,,,,,,,
3487,Egypt_Elmo_27,0.3174959,Egypt,,,,,,,,,,,0.3174959,Egypt_Elmo_27,,,,,
9567,Kuwait_@hamedzaidq8,0.31685117,Kuwait,,,,,0.31685117,Kuwait_@hamedzaidq8,,,,,,,,,,,
5078,Egypt_sherine,0.31587905,Egypt,,,,,,,,,,,0.31587905,Egypt_sherine,,,,,
2202,Egypt_alnagar80,0.31497878,Egypt,,,,,,,,,,,0.31497878,Egypt_alnagar80,,,,,
8899,Kuwait_@Alwashi7i,0.3120676,Kuwait,,,,,0.3120676,Kuwait_@Alwashi7i,,,,,,,,,,,
9558,Kuwait_@hamedzaidq8,0.3091353,Kuwait,,,,,0.3091353,Kuwait_@hamedzaidq8,,,,,,,,,,,
9441,Kuwait_@Essa_Ramadhan,0.30885655,Kuwait,,,,,0.30885655,Kuwait_@Essa_Ramadhan,,,,,,,,,,,
11291,Lebanon_HaririAMay,0.30852327,Lebanon,,,,,,,,0.30852327,Lebanon_HaririAMay,,,,,,,,
10933,Lebanon_CAROLE_SAMAHA,0.30742794,Lebanon,,,,,,,,0.30742794,Lebanon_CAROLE_SAMAHA,,,,,,,,
8371,Kuwait_@3bood_boushehri,0.30646777,Kuwait,,,,,0.30646777,Kuwait_@3bood_boushehri,,,,,,,,,,,
3489,Egypt_Elmo_27,0.30628723,Egypt,,,,,,,,,,,0.30628723,Egypt_Elmo_27,,,,,
11296,Lebanon_HaririAMay,0.30604094,Lebanon,,,,,,,,0.30604094,Lebanon_HaririAMay,,,,,,,,
9921,Kuwait_@Kw__10,0.30396986,Kuwait,,,,,0.30396986,Kuwait_@Kw__10,,,,,,,,,,,
8865,Kuwait_@altwaimi1976,0.30330294,Kuwait,,,,,0.30330294,Kuwait_@altwaimi1976,,,,,,,,,,,
9932,Kuwait_@LettersHD,0.30252784,Kuwait,,,,,0.30252784,Kuwait_@LettersHD,,,,,,,,,,,
9946,Kuwait_@LettersHD,0.30205706,Kuwait,,,,,0.30205706,Kuwait_@LettersHD,,,,,,,,,,,
8528,Kuwait_@7madms,0.3016147,Kuwait,,,,,0.3016147,Kuwait_@7madms,,,,,,,,,,,
8905,Kuwait_@Alwashi7i,0.30057597,Kuwait,,,,,0.30057597,Kuwait_@Alwashi7i,,,,,,,,,,,
8904,Kuwait_@Alwashi7i,0.30043477,Kuwait,,,,,0.30043477,Kuwait_@Alwashi7i,,,,,,,,,,,
11300,Lebanon_HaririAMay,0.2993946,Lebanon,,,,,,,,0.2993946,Lebanon_HaririAMay,,,,,,,,
3495,Egypt_Elmo_27,0.29935732,Egypt,,,,,,,,,,,0.29935732,Egypt_Elmo_27,,,,,
8848,Kuwait_@altwaimi1976,0.29834795,Kuwait,,,,,0.29834795,Kuwait_@altwaimi1976,,,,,,,,,,,
2230,Egypt_alnagar80,0.29808488,Egypt,,,,,,,,,,,0.29808488,Egypt_alnagar80,,,,,
2218,Egypt_alnagar80,0.29572105,Egypt,,,,,,,,,,,0.29572105,Egypt_alnagar80,,,,,
8531,Kuwait_@7madms,0.29252845,Kuwait,,,,,0.29252845,Kuwait_@7madms,,,,,,,,,,,
11292,Lebanon_HaririAMay,0.29159322,Lebanon,,,,,,,,0.29159322,Lebanon_HaririAMay,,,,,,,,
7355,YosriFouda,0.29053196,Egypt,,,,,,,,,,,0.29053196,YosriFouda,,,,,
9161,Kuwait_@DrAlmutawa,0.29051656,Kuwait,,,,,0.29051656,Kuwait_@DrAlmutawa,,,,,,,,,,,
5810,GameelaIsmail,0.2904058,Egypt,,,,,,,,,,,0.2904058,GameelaIsmail,,,,,
9536,Kuwait_@hamedzaidq8,0.28943914,Kuwait,,,,,0.28943914,Kuwait_@hamedzaidq8,,,,,,,,,,,
10928,Lebanon_CAROLE_SAMAHA,0.28893796,Lebanon,,,,,,,,0.28893796,Lebanon_CAROLE_SAMAHA,,,,,,,,
8278,Iraq_StaarSaad,0.2867134,Iraq,,0.2867134,Iraq_StaarSaad,,,,,,,,,,,,,,
9929,Kuwait_@Kw__10,0.28601265,Kuwait,,,,,0.28601265,Kuwait_@Kw__10,,,,,,,,,,,
9529,Kuwait_@hamedzaidq8,0.28574592,Kuwait,,,,,0.28574592,Kuwait_@hamedzaidq8,,,,,,,,,,,
9565,Kuwait_@hamedzaidq8,0.2848438,Kuwait,,,,,0.2848438,Kuwait_@hamedzaidq8,,,,,,,,,,,
8888,Kuwait_@altwaimi1976,0.2831687,Kuwait,,,,,0.2831687,Kuwait_@altwaimi1976,,,,,,,,,,,
9573,Kuwait_@Haya_abdulsalam,0.2826209,Kuwait,,,,,0.2826209,Kuwait_@Haya_abdulsalam,,,,,,,,,,,
3483,Egypt_Elmo_27,0.2823487,Egypt,,,,,,,,,,,0.2823487,Egypt_Elmo_27,,,,,
5095,Egypt_sherine,0.28232846,Egypt,,,,,,,,,,,0.28232846,Egypt_sherine,,,,,
8527,Kuwait_@7madms,0.28157833,Kuwait,,,,,0.28157833,Kuwait_@7madms,,,,,,,,,,,
2228,Egypt_alnagar80,0.28157273,Egypt,,,,,,,,,,,0.28157273,Egypt_alnagar80,,,,,
2220,Egypt_alnagar80,0.2815022,Egypt,,,,,,,,,,,0.2815022,Egypt_alnagar80,,,,,
9553,Kuwait_@hamedzaidq8,0.28080055,Kuwait,,,,,0.28080055,Kuwait_@hamedzaidq8,,,,,,,,,,,
10930,Lebanon_CAROLE_SAMAHA,0.27815282,Lebanon,,,,,,,,0.27815282,Lebanon_CAROLE_SAMAHA,,,,,,,,
9707,Kuwait_@hussen_q8,0.2766914,Kuwait,,,,,0.2766914,Kuwait_@hussen_q8,,,,,,,,,,,
8532,Kuwait_@7madms,0.275847,Kuwait,,,,,0.275847,Kuwait_@7madms,,,,,,,,,,,
8872,Kuwait_@altwaimi1976,0.27574915,Kuwait,,,,,0.27574915,Kuwait_@altwaimi1976,,,,,,,,,,,
3490,Egypt_Elmo_27,0.27556416,Egypt,,,,,,,,,,,0.27556416,Egypt_Elmo_27,,,,,
8862,Kuwait_@altwaimi1976,0.27500242,Kuwait,,,,,0.27500242,Kuwait_@altwaimi1976,,,,,,,,,,,
7353,YosriFouda,0.27416056,Egypt,,,,,,,,,,,0.27416056,YosriFouda,,,,,
7349,YosriFouda,0.27369457,Egypt,,,,,,,,,,,0.27369457,YosriFouda,,,,,
2201,Egypt_alnagar80,0.27345037,Egypt,,,,,,,,,,,0.27345037,Egypt_alnagar80,,,,,
7383,Iraq_AlexMello02,0.27276498,Iraq,,0.27276498,Iraq_AlexMello02,,,,,,,,,,,,,,
2225,Egypt_alnagar80,0.27275527,Egypt,,,,,,,,,,,0.27275527,Egypt_alnagar80,,,,,
9939,Kuwait_@LettersHD,0.27234173,Kuwait,,,,,0.27234173,Kuwait_@LettersHD,,,,,,,,,,,
4576,Egypt_MoezMasoud,0.2721222,Egypt,,,,,,,,,,,0.2721222,Egypt_MoezMasoud,,,,,
7352,YosriFouda,0.2720743,Egypt,,,,,,,,,,,0.2720743,YosriFouda,,,,,
8383,Kuwait_@3bood_boushehri,0.27182025,Kuwait,,,,,0.27182025,Kuwait_@3bood_boushehri,,,,,,,,,,,
11182,Lebanon_Gebran_Bassil,0.2707079,Lebanon,,,,,,,,0.2707079,Lebanon_Gebran_Bassil,,,,,,,,
8847,Kuwait_@altwaimi1976,0.27030203,Kuwait,,,,,0.27030203,Kuwait_@altwaimi1976,,,,,,,,,,,
9678,Kuwait_@hussen_q8,0.2693391,Kuwait,,,,,0.2693391,Kuwait_@hussen_q8,,,,,,,,,,,
8898,Kuwait_@Alwashi7i,0.26932067,Kuwait,,,,,0.26932067,Kuwait_@Alwashi7i,,,,,,,,,,,
10936,Lebanon_CyrineAbdlNour,0.2692962,Lebanon,,,,,,,,0.2692962,Lebanon_CyrineAbdlNour,,,,,,,,
7359,YosriFouda,0.26715294,Egypt,,,,,,,,,,,0.26715294,YosriFouda,,,,,
8852,Kuwait_@altwaimi1976,0.26649374,Kuwait,,,,,0.26649374,Kuwait_@altwaimi1976,,,,,,,,,,,
9925,Kuwait_@Kw__10,0.26576376,Kuwait,,,,,0.26576376,Kuwait_@Kw__10,,,,,,,,,,,
6838,naderbakkar,0.2647465,Egypt,,,,,,,,,,,0.2647465,naderbakkar,,,,,
6660,MoezMasoud,0.26203066,Egypt,,,,,,,,,,,0.26203066,MoezMasoud,,,,,
8887,Kuwait_@altwaimi1976,0.26084253,Kuwait,,,,,0.26084253,Kuwait_@altwaimi1976,,,,,,,,,,,
4426,Egypt_Khaledali251,0.26054624,Egypt,,,,,,,,,,,0.26054624,Egypt_Khaledali251,,,,,
3502,Egypt_Elmo_27,0.2599436,Egypt,,,,,,,,,,,0.2599436,Egypt_Elmo_27,,,,,
7463,Iraq_BarhamSalih,0.2595665,Iraq,,0.2595665,Iraq_BarhamSalih,,,,,,,,,,,,,,
9571,Kuwait_@Haya_abdulsalam,0.25927672,Kuwait,,,,,0.25927672,Kuwait_@Haya_abdulsalam,,,,,,,,,,,
8855,Kuwait_@altwaimi1976,0.2592507,Kuwait,,,,,0.2592507,Kuwait_@altwaimi1976,,,,,,,,,,,
8866,Kuwait_@altwaimi1976,0.25916725,Kuwait,,,,,0.25916725,Kuwait_@altwaimi1976,,,,,,,,,,,
9329,Kuwait_@drjasem,0.25906405,Kuwait,,,,,0.25906405,Kuwait_@drjasem,,,,,,,,,,,
11187,Lebanon_Gebran_Bassil,0.25888604,Lebanon,,,,,,,,0.25888604,Lebanon_Gebran_Bassil,,,,,,,,
